map_name,scen_id,n_agents,solver_name,adr,adr_stderr,rate,total_time,exec_time,exec_time_stderr,train_time,timeout_rate,stuck_rate,collision_rate,replans_max_size,replans_mean,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
ost003d,1,8,online_window_dijkstra_2,-2499.37,19.11,100,6.34,0.4,90.12,5.94,0,0,0,2,1.830000-,-,-,-,-,-
ost003d,1,6,online_window_vi_2,-1212.57,10.18,100,934.32,2.08,1593.53,932.24,0,0,0,3,3.170000-,-,-,-,-,-
ost003d,2,8,online_window_dijkstra_2,-1945.47,20.22,100,5.23,0.07,15.31,5.16,0,0,0,2,0.170000-,-,-,-,-,-
ost003d,15,6,online_window_vi_2,-1139.93,11.66,100,944,0.37,88.26,943.63,0,0,0,2,2.670000-,-,-,-,-,-
ost003d_scen-3_agents=8,3,8,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
ost003d_scen-25_agents=6,25,6,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
ost003d,4,8,online_window_dijkstra_2,-2003.1,12.45,100,6.59,0.6,128.57,5.99,0,0,0,2,2.900000-,-,-,-,-,-
ost003d,5,8,online_window_dijkstra_2,-1755.93,16.31,100,6.48,0.67,156.04,5.81,0,0,0,2,4.100000-,-,-,-,-,-
ost003d,18,6,online_window_vi_2,-845.33,8.04,100,873.2,0.03,5.57,873.17,0,0,0,0,0.000000-,-,-,-,-,-
ost003d,6,8,online_window_dijkstra_2,-1673.47,13.75,100,5.98,0.15,30.95,5.83,0,0,0,2,0.900000-,-,-,-,-,-
ost003d_scen-17_agents=6,17,6,online_window_vi_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
ost003d,20,6,online_window_vi_2,-1462,10.95,100,881,0.19,59.22,880.81,0,0,0,2,0.730000-,-,-,-,-,-
ost003d_scen-7_agents=8,7,8,online_window_dijkstra_2,0,0,0,0,0,0,0,0,0,0,,,,,,,
