map_name,scen_id,n_agents,solver_name,reward,total_time,exec_time,train_time,end_reason,steps,replans_max_size,replans_count,max_steps_window,max_reached_window,max_expanded_window,n_livelock,n_conflicts,eval_time,init_time,conflicts_time,n_iterations
maze-32-32-4,online_window_dijkstra_2,3,1,-38,1.80749,1.80749,0,success,38,0,0,38,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-25,1.45392,1.45392,0,success,25,0,0,25,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-33,1.74143,1.74143,0,success,33,0,0,33,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-20,1.21214,1.21214,0,success,20,0,0,20,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-21,1.25801,1.25801,0,success,21,0,0,21,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-37,2.03546,2.03546,0,success,37,0,0,37,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-36,1.84425,1.84425,0,success,36,0,0,36,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-60,2.71007,2.71007,0,success,60,0,0,60,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-32,1.67517,1.67517,0,success,32,0,0,32,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-42,2.00023,2.00023,0,success,42,0,0,42,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-37,1.83058,1.83058,0,success,37,0,0,37,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-14,1.109,1.109,0,success,14,0,0,14,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-81,3.28489,3.28489,0,success,81,0,0,81,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-13,1.08608,1.08608,0,success,13,0,0,13,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-18,1.12498,1.12498,0,success,18,0,0,18,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-72,2.92297,2.92297,0,success,72,0,0,72,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-34,1.73446,1.73446,0,success,34,0,0,34,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-30,1.18931,1.18931,0,success,30,0,0,30,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-53,2.39571,2.39571,0,success,53,0,0,53,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,3,1,-11,0.928856,0.928856,0,success,11,0,0,11,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-96,5.05538,5.05538,0,success,96,0,0,96,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-118,6.04753,6.04753,0,success,118,0,0,118,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-120,5.47097,5.47097,0,success,120,0,0,120,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-126,5.90041,5.90041,0,success,126,0,0,126,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-126,5.93054,5.93054,0,success,126,0,0,126,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-159,6.76809,6.76809,0,success,159,0,0,159,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-114,5.51258,5.51258,0,success,114,0,0,114,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-185,8.02843,8.02843,0,success,185,0,0,185,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-120,5.51497,5.51497,0,success,120,0,0,120,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-119,4.73901,4.73901,0,success,119,0,0,119,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-110,5.8936,5.8936,0,success,110,0,0,110,0,0,0,-,-,-,-,-
maze-32-32-4,online_window_dijkstra_2,5,1,-105,5.14009,5.14009,0,success,105,0,0,105,0,0,0,-,-,-,-,-
